bootstrap_iteration,statistic,p_value,significant,comparison
149,1.5619599363391439,0.21350927286432336,False,Pre vs Post Inauguration
150,0.13075079814341098,0.7182119264427695,False,Pre vs Post Inauguration
151,0.6306121542504551,0.428504239345195,False,Pre vs Post Inauguration
152,0.0058574601615500425,0.9391058835099491,False,Pre vs Post Inauguration
153,0.7663291368975103,0.3828872561375446,False,Pre vs Post Inauguration
154,0.1373928655106187,0.7114592320780211,False,Pre vs Post Inauguration
155,0.6516558346936052,0.42092059029835927,False,Pre vs Post Inauguration
156,0.00623306326283105,0.9371877910411335,False,Pre vs Post Inauguration
157,0.11882571844322243,0.7308402089447796,False,Pre vs Post Inauguration
158,0.31065253823062794,0.5781895450235837,False,Pre vs Post Inauguration
159,0.0009991895028087158,0.9748291057455368,False,Pre vs Post Inauguration
160,0.5234242266845992,0.47061811811943466,False,Pre vs Post Inauguration
161,0.007094000176537157,0.9329997870113391,False,Pre vs Post Inauguration
162,0.10851626128129441,0.7423428104634624,False,Pre vs Post Inauguration
163,0.17674942564874788,0.6748404326763889,False,Pre vs Post Inauguration
164,0.5440494962723567,0.4620207716805198,False,Pre vs Post Inauguration
165,1.319862970559589,0.25261849736852,False,Pre vs Post Inauguration
166,0.21046015519779082,0.6471339502292488,False,Pre vs Post Inauguration
167,0.9462983437838979,0.3323777364781878,False,Pre vs Post Inauguration
168,2.1056573767505,0.14904118470748492,False,Pre vs Post Inauguration
169,0.24088205430090281,0.6243550014086754,False,Pre vs Post Inauguration
170,0.4134422029743609,0.52130225793719,False,Pre vs Post Inauguration
171,6.7546012182925255,0.010374438167242914,True,Pre vs Post Inauguration
172,1.1752728385394853,0.2802246172026979,False,Pre vs Post Inauguration
173,2.223086732596779,0.1382599041992408,False,Pre vs Post Inauguration
174,4.290882659152562,0.040193311599474625,True,Pre vs Post Inauguration
175,0.5803739958568652,0.44747525611727046,False,Pre vs Post Inauguration
176,1.4596450462799015,0.2290679473669502,False,Pre vs Post Inauguration
177,0.6582488972642828,0.4185861421982775,False,Pre vs Post Inauguration
178,0.45010451056123024,0.5034148412256045,False,Pre vs Post Inauguration
179,0.45505226890514505,0.5010821834673542,False,Pre vs Post Inauguration
180,2.08821634110195,0.15072272716386256,False,Pre vs Post Inauguration
181,0.2734883920091755,0.6018460292843265,False,Pre vs Post Inauguration
182,0.08530207371857858,0.7706785979560479,False,Pre vs Post Inauguration
183,1.2576478882091187,0.2640585935292695,False,Pre vs Post Inauguration
184,0.002798077533563631,0.9578911421191519,False,Pre vs Post Inauguration
185,14.601739600390534,0.00020068094115357227,True,Pre vs Post Inauguration
186,0.9822526594730737,0.323390511398464,False,Pre vs Post Inauguration
187,4.3129894492871195,0.03969060549613206,True,Pre vs Post Inauguration
188,3.3690280808453017,0.06860146647315546,False,Pre vs Post Inauguration
189,0.6318242772809958,0.42806183040549917,False,Pre vs Post Inauguration
190,0.1148102255159865,0.7352516247752977,False,Pre vs Post Inauguration
191,0.9969495420087472,0.31981004986420036,False,Pre vs Post Inauguration
192,1.6484966999484028,0.20133084503259294,False,Pre vs Post Inauguration
193,1.8212302127827054,0.17939277062342873,False,Pre vs Post Inauguration
194,0.2521910198210419,0.6163427116958882,False,Pre vs Post Inauguration
195,7.1871630543794005,0.008244520629639245,True,Pre vs Post Inauguration
196,0.002115848996026927,0.9633785404027945,False,Pre vs Post Inauguration
197,0.061086592110328755,0.8051567060064098,False,Pre vs Post Inauguration
198,0.1271321686671025,0.721972781773959,False,Pre vs Post Inauguration
199,0.0456281536146979,0.8311707337826427,False,Pre vs Post Inauguration
200,0.38835453858792257,0.5342016620165027,False,Pre vs Post Inauguration
201,0.22229691842472768,0.6380453086980813,False,Pre vs Post Inauguration
202,2.2821974055687555,0.13316943420742372,False,Pre vs Post Inauguration
203,0.17933793948806398,0.6726069149626753,False,Pre vs Post Inauguration
204,0.15687318016346785,0.6926679438998917,False,Pre vs Post Inauguration
205,0.28060944052077846,0.5971594517693388,False,Pre vs Post Inauguration
206,1.11528442227158,0.292794852978123,False,Pre vs Post Inauguration
207,5.220258215560496,0.02386175780992724,True,Pre vs Post Inauguration
208,0.21359227658882435,0.6446993723318952,False,Pre vs Post Inauguration
209,0.594928585760632,0.4418478680636385,False,Pre vs Post Inauguration
210,0.00577010157143852,0.9395607933107968,False,Pre vs Post Inauguration
