bootstrap_iteration,u_statistic,p_value,significant,comparison
170,2842.5,1.7734694019399649e-06,True,Pre-Inauguration vs Entire Period
171,2607.5,8.658688046144042e-08,True,Pre-Inauguration vs Entire Period
172,2891.0,3.1759780931557874e-06,True,Pre-Inauguration vs Entire Period
173,2440.0,8.28762995539336e-09,True,Pre-Inauguration vs Entire Period
174,2612.5,9.265959719957682e-08,True,Pre-Inauguration vs Entire Period
175,1920.5,2.009162949593742e-12,True,Pre-Inauguration vs Entire Period
176,2907.5,3.861355531101843e-06,True,Pre-Inauguration vs Entire Period
177,3200.0,9.505850607678444e-05,True,Pre-Inauguration vs Entire Period
178,2222.0,3.056232531653503e-10,True,Pre-Inauguration vs Entire Period
179,2231.0,3.5172234144698537e-10,True,Pre-Inauguration vs Entire Period
180,2636.5,1.279901722410956e-07,True,Pre-Inauguration vs Entire Period
181,2855.0,2.063490220300658e-06,True,Pre-Inauguration vs Entire Period
182,2818.5,1.3222382535562272e-06,True,Pre-Inauguration vs Entire Period
183,2020.0,1.1183263144366834e-11,True,Pre-Inauguration vs Entire Period
184,2507.5,2.1773601832709612e-08,True,Pre-Inauguration vs Entire Period
185,2758.5,6.254016325619018e-07,True,Pre-Inauguration vs Entire Period
186,1418.5,1.4323262393390318e-16,True,Pre-Inauguration vs Entire Period
187,2659.0,1.723812778969115e-07,True,Pre-Inauguration vs Entire Period
188,2596.0,7.409142449424718e-08,True,Pre-Inauguration vs Entire Period
189,2674.0,2.1019485188295162e-07,True,Pre-Inauguration vs Entire Period
190,2511.5,2.302061505173202e-08,True,Pre-Inauguration vs Entire Period
191,3164.5,6.614361326410917e-05,True,Pre-Inauguration vs Entire Period
192,2448.5,9.37547281313916e-09,True,Pre-Inauguration vs Entire Period
193,2804.0,1.1052019880082294e-06,True,Pre-Inauguration vs Entire Period
194,2348.0,2.129124831854856e-09,True,Pre-Inauguration vs Entire Period
195,2198.0,2.0869408307911943e-10,True,Pre-Inauguration vs Entire Period
196,2497.5,1.8870359435560447e-08,True,Pre-Inauguration vs Entire Period
197,2326.0,1.5270041558122496e-09,True,Pre-Inauguration vs Entire Period
198,2619.0,1.0114968048446795e-07,True,Pre-Inauguration vs Entire Period
199,2755.0,5.97781633158476e-07,True,Pre-Inauguration vs Entire Period
200,2610.5,9.023480117847914e-08,True,Pre-Inauguration vs Entire Period
201,1903.5,1.4896478482899725e-12,True,Pre-Inauguration vs Entire Period
202,2706.5,3.2127999676714717e-07,True,Pre-Inauguration vs Entire Period
203,2509.0,2.2227698543383843e-08,True,Pre-Inauguration vs Entire Period
204,3208.0,0.00010305036089983371,True,Pre-Inauguration vs Entire Period
205,2440.5,8.34765339418495e-09,True,Pre-Inauguration vs Entire Period
206,2547.0,3.784022601038854e-08,True,Pre-Inauguration vs Entire Period
207,3203.0,9.795069365208256e-05,True,Pre-Inauguration vs Entire Period
208,2550.5,3.971902975747537e-08,True,Pre-Inauguration vs Entire Period
209,1815.5,3.0835060209272493e-13,True,Pre-Inauguration vs Entire Period
210,2222.5,3.079392359723425e-10,True,Pre-Inauguration vs Entire Period
211,2022.0,1.1573917784048126e-11,True,Pre-Inauguration vs Entire Period
212,2918.5,4.395375247453706e-06,True,Pre-Inauguration vs Entire Period
213,3236.5,0.00013699131512932513,True,Pre-Inauguration vs Entire Period
214,2818.5,1.3222382535562272e-06,True,Pre-Inauguration vs Entire Period
215,2200.5,2.1721637301611738e-10,True,Pre-Inauguration vs Entire Period
216,2435.5,7.753732162353842e-09,True,Pre-Inauguration vs Entire Period
217,2632.5,1.2117627497343158e-07,True,Pre-Inauguration vs Entire Period
218,2551.5,4.0243158023864964e-08,True,Pre-Inauguration vs Entire Period
219,2411.0,5.424838416977921e-09,True,Pre-Inauguration vs Entire Period
220,2619.0,1.0099862112329435e-07,True,Pre-Inauguration vs Entire Period
221,2556.5,4.309389381772439e-08,True,Pre-Inauguration vs Entire Period
222,2769.0,7.141982373962285e-07,True,Pre-Inauguration vs Entire Period
223,2327.0,1.5502805343420528e-09,True,Pre-Inauguration vs Entire Period
224,2640.5,1.3484362960080245e-07,True,Pre-Inauguration vs Entire Period
225,2414.0,5.674154657143121e-09,True,Pre-Inauguration vs Entire Period
226,2355.0,2.3652780838538833e-09,True,Pre-Inauguration vs Entire Period
227,2566.5,4.949048925458041e-08,True,Pre-Inauguration vs Entire Period
228,2630.5,1.180269698532367e-07,True,Pre-Inauguration vs Entire Period
229,2498.5,1.914663246187978e-08,True,Pre-Inauguration vs Entire Period
230,2697.0,2.841152219806444e-07,True,Pre-Inauguration vs Entire Period
231,2657.5,1.691446998159461e-07,True,Pre-Inauguration vs Entire Period
232,2357.5,2.4553094959594805e-09,True,Pre-Inauguration vs Entire Period
233,2708.5,3.2950322489865397e-07,True,Pre-Inauguration vs Entire Period
234,2902.5,3.6410068507478873e-06,True,Pre-Inauguration vs Entire Period
235,2843.5,1.7949012711208604e-06,True,Pre-Inauguration vs Entire Period
236,3068.0,2.3803462514778818e-05,True,Pre-Inauguration vs Entire Period
237,2551.0,4.000554955374476e-08,True,Pre-Inauguration vs Entire Period
238,2389.5,3.952731088432243e-09,True,Pre-Inauguration vs Entire Period
239,2045.5,1.718643002220301e-11,True,Pre-Inauguration vs Entire Period
240,2801.5,1.0716462213034706e-06,True,Pre-Inauguration vs Entire Period
241,2697.0,2.8406351880240074e-07,True,Pre-Inauguration vs Entire Period
242,2336.5,1.7898708294580057e-09,True,Pre-Inauguration vs Entire Period
243,2649.0,1.511532811218849e-07,True,Pre-Inauguration vs Entire Period
244,2920.0,4.474168631589469e-06,True,Pre-Inauguration vs Entire Period
245,2432.0,7.374084178880959e-09,True,Pre-Inauguration vs Entire Period
246,1934.0,2.5466959747998883e-12,True,Pre-Inauguration vs Entire Period
247,2560.5,4.5586976476996614e-08,True,Pre-Inauguration vs Entire Period
248,2492.0,1.747299463401874e-08,True,Pre-Inauguration vs Entire Period
249,2251.5,4.855437834249586e-10,True,Pre-Inauguration vs Entire Period
250,2952.0,6.491569665577837e-06,True,Pre-Inauguration vs Entire Period
251,2431.5,7.32297907930977e-09,True,Pre-Inauguration vs Entire Period
252,3095.5,3.2025909937385056e-05,True,Pre-Inauguration vs Entire Period
253,2958.5,6.99719176102305e-06,True,Pre-Inauguration vs Entire Period
254,2210.5,2.546959228145599e-10,True,Pre-Inauguration vs Entire Period
255,2462.5,1.1463928846206344e-08,True,Pre-Inauguration vs Entire Period
256,3070.5,2.444411556358972e-05,True,Pre-Inauguration vs Entire Period
257,3137.0,4.969854994958875e-05,True,Pre-Inauguration vs Entire Period
258,2849.5,1.9306418097762262e-06,True,Pre-Inauguration vs Entire Period
259,3031.5,1.5940110812019686e-05,True,Pre-Inauguration vs Entire Period
260,2869.0,2.439815637969996e-06,True,Pre-Inauguration vs Entire Period
261,2590.0,6.830181241198538e-08,True,Pre-Inauguration vs Entire Period
262,2635.0,1.2544897924501646e-07,True,Pre-Inauguration vs Entire Period
263,3100.0,3.3603857671386884e-05,True,Pre-Inauguration vs Entire Period
264,2610.5,9.022592171872959e-08,True,Pre-Inauguration vs Entire Period
265,2209.0,2.487702230090917e-10,True,Pre-Inauguration vs Entire Period
266,2554.5,4.190561450170444e-08,True,Pre-Inauguration vs Entire Period
267,2980.5,8.998390905410813e-06,True,Pre-Inauguration vs Entire Period
268,2894.5,3.310947355577535e-06,True,Pre-Inauguration vs Entire Period
269,3026.0,1.4998097912856875e-05,True,Pre-Inauguration vs Entire Period
270,2505.5,2.1154994055650688e-08,True,Pre-Inauguration vs Entire Period
271,2806.0,1.1327094524012407e-06,True,Pre-Inauguration vs Entire Period
272,2206.0,2.3727469024724253e-10,True,Pre-Inauguration vs Entire Period
273,2247.0,4.521301556141596e-10,True,Pre-Inauguration vs Entire Period
274,2879.0,2.754361303878133e-06,True,Pre-Inauguration vs Entire Period
275,2546.0,3.730651890500101e-08,True,Pre-Inauguration vs Entire Period
276,2970.5,8.016052368936433e-06,True,Pre-Inauguration vs Entire Period
277,1994.5,7.2400027904901766e-12,True,Pre-Inauguration vs Entire Period
278,2503.0,2.0422369027373638e-08,True,Pre-Inauguration vs Entire Period
279,2548.5,3.8595480398847086e-08,True,Pre-Inauguration vs Entire Period
280,2506.0,2.128353144997084e-08,True,Pre-Inauguration vs Entire Period
281,2327.0,1.5495262786779138e-09,True,Pre-Inauguration vs Entire Period
282,2195.0,1.9913302722710684e-10,True,Pre-Inauguration vs Entire Period
283,2809.5,1.1821559603996242e-06,True,Pre-Inauguration vs Entire Period
284,2350.5,2.2092824140085853e-09,True,Pre-Inauguration vs Entire Period
285,2673.0,2.074094621374482e-07,True,Pre-Inauguration vs Entire Period
286,2303.5,1.0831520742070787e-09,True,Pre-Inauguration vs Entire Period
287,2600.5,7.877430272807491e-08,True,Pre-Inauguration vs Entire Period
288,2604.5,8.322327491352391e-08,True,Pre-Inauguration vs Entire Period
289,2355.5,2.3834010917761912e-09,True,Pre-Inauguration vs Entire Period
290,1740.0,7.694497002993731e-14,True,Pre-Inauguration vs Entire Period
291,2884.5,2.940935624926023e-06,True,Pre-Inauguration vs Entire Period
292,2551.0,3.995870898686777e-08,True,Pre-Inauguration vs Entire Period
293,2716.0,3.6331993810072613e-07,True,Pre-Inauguration vs Entire Period
294,3173.5,7.254865280874843e-05,True,Pre-Inauguration vs Entire Period
295,2933.5,5.235413494789164e-06,True,Pre-Inauguration vs Entire Period
296,2694.5,2.7511492576601986e-07,True,Pre-Inauguration vs Entire Period
297,3231.5,0.00013030235866263144,True,Pre-Inauguration vs Entire Period
298,2168.0,1.2906063166966738e-10,True,Pre-Inauguration vs Entire Period
299,2904.0,3.707159442937454e-06,True,Pre-Inauguration vs Entire Period
300,2741.5,5.038437467384083e-07,True,Pre-Inauguration vs Entire Period
