bootstrap_iteration,d_statistic,p_value,significant,comparison
159,0.8132505175983437,1.0789409345782223e-23,True,Pre vs Post Inauguration
160,0.9136645962732919,2.53387419087263e-31,True,Pre vs Post Inauguration
161,0.9281573498964804,8.888535885802074e-33,True,Pre vs Post Inauguration
162,0.7838509316770186,1.7232883692462425e-21,True,Pre vs Post Inauguration
163,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
164,0.827536231884058,1.3020190092974747e-24,True,Pre vs Post Inauguration
165,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
166,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
167,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
168,0.7693581780538302,1.3993867612426646e-20,True,Pre vs Post Inauguration
169,0.841407867494824,2.3117741307806233e-25,True,Pre vs Post Inauguration
170,0.8554865424430642,2.2299136153707975e-26,True,Pre vs Post Inauguration
171,0.927536231884058,1.7142176351189707e-32,True,Pre vs Post Inauguration
172,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
173,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
174,0.9136645962732919,2.53387419087263e-31,True,Pre vs Post Inauguration
175,0.8277432712215321,8.52187909368627e-25,True,Pre vs Post Inauguration
176,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
177,0.9132505175983436,3.7499294012103955e-31,True,Pre vs Post Inauguration
178,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
179,0.8708074534161491,5.690061462021432e-28,True,Pre vs Post Inauguration
180,0.9140786749482401,6.30057831531461e-32,True,Pre vs Post Inauguration
181,0.9283643892339545,3.9583694050067985e-33,True,Pre vs Post Inauguration
182,0.841407867494824,2.3117741307806233e-25,True,Pre vs Post Inauguration
183,0.8991718426501035,5.586822480817603e-30,True,Pre vs Post Inauguration
184,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
185,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
186,0.798343685300207,1.9414775697077533e-22,True,Pre vs Post Inauguration
187,0.8130434782608695,1.529711835041579e-23,True,Pre vs Post Inauguration
188,0.8989648033126294,6.735800823411751e-30,True,Pre vs Post Inauguration
189,0.7832298136645963,2.0595620677592684e-21,True,Pre vs Post Inauguration
190,0.7981366459627329,2.211877083043853e-22,True,Pre vs Post Inauguration
191,0.9283643892339545,3.9583694050067985e-33,True,Pre vs Post Inauguration
192,0.9571428571428572,2.8426480866583934e-36,True,Pre vs Post Inauguration
193,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
194,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
