bootstrap_iteration,delta,interpretation,comparison
136,-0.5277864664789907,Large,Pre-Inauguration vs Entire Period
137,-0.4833698258784277,Large,Pre-Inauguration vs Entire Period
138,-0.4618913564800334,Medium,Pre-Inauguration vs Entire Period
139,-0.5765822124908768,Large,Pre-Inauguration vs Entire Period
140,-0.4939005317485142,Large,Pre-Inauguration vs Entire Period
141,-0.5093316651027004,Large,Pre-Inauguration vs Entire Period
142,-0.45761651548326554,Medium,Pre-Inauguration vs Entire Period
143,-0.59764362423105,Large,Pre-Inauguration vs Entire Period
144,-0.5128766551975811,Large,Pre-Inauguration vs Entire Period
145,-0.5253883849442186,Large,Pre-Inauguration vs Entire Period
146,-0.4435408195182984,Medium,Pre-Inauguration vs Entire Period
147,-0.3608591387759358,Medium,Pre-Inauguration vs Entire Period
148,-0.32666041080179337,Small,Pre-Inauguration vs Entire Period
149,-0.3353143572098843,Medium,Pre-Inauguration vs Entire Period
150,-0.5242414763841101,Large,Pre-Inauguration vs Entire Period
151,-0.5170472317797935,Large,Pre-Inauguration vs Entire Period
152,-0.4154936920029194,Medium,Pre-Inauguration vs Entire Period
153,-0.5951412782817225,Large,Pre-Inauguration vs Entire Period
154,-0.455426962777604,Medium,Pre-Inauguration vs Entire Period
155,-0.5100615160045876,Large,Pre-Inauguration vs Entire Period
156,-0.4598060681889271,Medium,Pre-Inauguration vs Entire Period
157,-0.3475132937128558,Medium,Pre-Inauguration vs Entire Period
158,-0.3224898342195809,Small,Pre-Inauguration vs Entire Period
159,-0.5566677093108122,Large,Pre-Inauguration vs Entire Period
160,-0.42592013345845064,Medium,Pre-Inauguration vs Entire Period
161,-0.5275779376498801,Large,Pre-Inauguration vs Entire Period
162,-0.41132311542070693,Medium,Pre-Inauguration vs Entire Period
163,-0.47972057136899177,Large,Pre-Inauguration vs Entire Period
164,-0.3764988009592326,Medium,Pre-Inauguration vs Entire Period
165,-0.44395787717651963,Medium,Pre-Inauguration vs Entire Period
166,-0.4297779167969972,Medium,Pre-Inauguration vs Entire Period
167,-0.4086122406422688,Medium,Pre-Inauguration vs Entire Period
168,-0.4215410280471275,Medium,Pre-Inauguration vs Entire Period
169,-0.4616828276509227,Medium,Pre-Inauguration vs Entire Period
170,-0.40725680325304975,Medium,Pre-Inauguration vs Entire Period
171,-0.4562610780940465,Medium,Pre-Inauguration vs Entire Period
172,-0.39714315504118447,Medium,Pre-Inauguration vs Entire Period
173,-0.4911896569700761,Large,Pre-Inauguration vs Entire Period
174,-0.4552184339484934,Medium,Pre-Inauguration vs Entire Period
175,-0.5995203836930456,Large,Pre-Inauguration vs Entire Period
176,-0.39370242936085914,Medium,Pre-Inauguration vs Entire Period
177,-0.33270774684600146,Medium,Pre-Inauguration vs Entire Period
178,-0.5366489417161923,Large,Pre-Inauguration vs Entire Period
179,-0.5347721822541966,Large,Pre-Inauguration vs Entire Period
180,-0.4502137420498384,Medium,Pre-Inauguration vs Entire Period
181,-0.4046501928891669,Medium,Pre-Inauguration vs Entire Period
182,-0.41226149515170474,Medium,Pre-Inauguration vs Entire Period
183,-0.5787717651965384,Large,Pre-Inauguration vs Entire Period
184,-0.47711396100510894,Large,Pre-Inauguration vs Entire Period
185,-0.4247732248983422,Medium,Pre-Inauguration vs Entire Period
186,-0.7042018559065791,Large,Pre-Inauguration vs Entire Period
187,-0.44552184339484935,Medium,Pre-Inauguration vs Entire Period
188,-0.4586591596288187,Medium,Pre-Inauguration vs Entire Period
189,-0.44239391095819,Medium,Pre-Inauguration vs Entire Period
190,-0.47627984568866644,Large,Pre-Inauguration vs Entire Period
191,-0.3401105202794286,Medium,Pre-Inauguration vs Entire Period
192,-0.4894171619226358,Large,Pre-Inauguration vs Entire Period
193,-0.41528516317380876,Medium,Pre-Inauguration vs Entire Period
194,-0.5103743092482536,Large,Pre-Inauguration vs Entire Period
195,-0.5416536336148473,Large,Pre-Inauguration vs Entire Period
196,-0.4791992492962152,Large,Pre-Inauguration vs Entire Period
197,-0.5149619434886873,Large,Pre-Inauguration vs Entire Period
198,-0.4538629965592743,Medium,Pre-Inauguration vs Entire Period
199,-0.4255030758002294,Medium,Pre-Inauguration vs Entire Period
200,-0.4556354916067146,Medium,Pre-Inauguration vs Entire Period
201,-0.6030653737879261,Large,Pre-Inauguration vs Entire Period
202,-0.43561672401209467,Medium,Pre-Inauguration vs Entire Period
203,-0.47680116776144305,Large,Pre-Inauguration vs Entire Period
204,-0.33103951621311645,Medium,Pre-Inauguration vs Entire Period
205,-0.4910853925555208,Large,Pre-Inauguration vs Entire Period
206,-0.4688770722552393,Medium,Pre-Inauguration vs Entire Period
207,-0.3320821603586696,Medium,Pre-Inauguration vs Entire Period
208,-0.4681472213533521,Medium,Pre-Inauguration vs Entire Period
209,-0.6214159107496612,Large,Pre-Inauguration vs Entire Period
210,-0.5365446773016369,Large,Pre-Inauguration vs Entire Period
211,-0.5783547075383172,Large,Pre-Inauguration vs Entire Period
212,-0.3914086122406423,Medium,Pre-Inauguration vs Entire Period
213,-0.32509644458346365,Small,Pre-Inauguration vs Entire Period
214,-0.41226149515170474,Medium,Pre-Inauguration vs Entire Period
215,-0.5411323115420706,Large,Pre-Inauguration vs Entire Period
216,-0.4921280367010739,Large,Pre-Inauguration vs Entire Period
217,-0.4510478573662809,Medium,Pre-Inauguration vs Entire Period
218,-0.4679386925242415,Medium,Pre-Inauguration vs Entire Period
219,-0.4972369930142842,Large,Pre-Inauguration vs Entire Period
220,-0.4538629965592743,Medium,Pre-Inauguration vs Entire Period
221,-0.46689604837868837,Medium,Pre-Inauguration vs Entire Period
222,-0.4225836721926806,Medium,Pre-Inauguration vs Entire Period
223,-0.5147534146595767,Large,Pre-Inauguration vs Entire Period
224,-0.4493796267333959,Medium,Pre-Inauguration vs Entire Period
225,-0.49661140652695235,Large,Pre-Inauguration vs Entire Period
226,-0.5089146074444793,Large,Pre-Inauguration vs Entire Period
227,-0.4648107600875821,Medium,Pre-Inauguration vs Entire Period
228,-0.45146491502450214,Medium,Pre-Inauguration vs Entire Period
229,-0.47899072046710456,Large,Pre-Inauguration vs Entire Period
230,-0.4375977478886456,Medium,Pre-Inauguration vs Entire Period
231,-0.44583463663851525,Medium,Pre-Inauguration vs Entire Period
232,-0.5083932853717026,Large,Pre-Inauguration vs Entire Period
233,-0.4351996663538734,Medium,Pre-Inauguration vs Entire Period
234,-0.39474507350641225,Medium,Pre-Inauguration vs Entire Period
235,-0.4070482744239391,Medium,Pre-Inauguration vs Entire Period
236,-0.3602335522886039,Medium,Pre-Inauguration vs Entire Period
237,-0.4680429569387968,Medium,Pre-Inauguration vs Entire Period
238,-0.5017203628401626,Large,Pre-Inauguration vs Entire Period
239,-0.5734542800542175,Large,Pre-Inauguration vs Entire Period
240,-0.41580648524658537,Medium,Pre-Inauguration vs Entire Period
241,-0.4375977478886456,Medium,Pre-Inauguration vs Entire Period
242,-0.5127723907830257,Large,Pre-Inauguration vs Entire Period
243,-0.44760713168595556,Medium,Pre-Inauguration vs Entire Period
244,-0.3910958189969763,Medium,Pre-Inauguration vs Entire Period
245,-0.4928578876029611,Large,Pre-Inauguration vs Entire Period
246,-0.5967052445000521,Large,Pre-Inauguration vs Entire Period
247,-0.46606193306224586,Medium,Pre-Inauguration vs Entire Period
248,-0.4803461578563236,Large,Pre-Inauguration vs Entire Period
249,-0.5304973412574289,Large,Pre-Inauguration vs Entire Period
