bootstrap_iteration,u_statistic,p_value,significant,comparison
246,7482.5,2.259701111506795e-10,True,Post-Inauguration vs Entire Period
247,7595.5,3.6789512036580246e-11,True,Post-Inauguration vs Entire Period
248,7246.0,7.95073760345871e-09,True,Post-Inauguration vs Entire Period
249,7050.5,1.1867652681183964e-07,True,Post-Inauguration vs Entire Period
250,7089.5,7.040642567022168e-08,True,Post-Inauguration vs Entire Period
251,7388.5,9.677980635588951e-10,True,Post-Inauguration vs Entire Period
252,7135.0,3.790820266470495e-08,True,Post-Inauguration vs Entire Period
253,7020.0,1.7728849842475044e-07,True,Post-Inauguration vs Entire Period
254,6916.5,6.666750652440232e-07,True,Post-Inauguration vs Entire Period
255,6546.0,4.642708553382297e-05,True,Post-Inauguration vs Entire Period
256,7630.0,2.0831523652896502e-11,True,Post-Inauguration vs Entire Period
257,7394.0,8.889141753221068e-10,True,Post-Inauguration vs Entire Period
258,6789.0,3.1324214318884975e-06,True,Post-Inauguration vs Entire Period
259,6825.5,2.032203927088043e-06,True,Post-Inauguration vs Entire Period
260,7337.5,2.0824991245469155e-09,True,Post-Inauguration vs Entire Period
261,7364.0,1.4015532418648795e-09,True,Post-Inauguration vs Entire Period
262,6677.5,1.1252437574506075e-05,True,Post-Inauguration vs Entire Period
263,7232.5,9.662449937268045e-09,True,Post-Inauguration vs Entire Period
264,6936.0,5.220019693055703e-07,True,Post-Inauguration vs Entire Period
265,6711.5,7.677361886309669e-06,True,Post-Inauguration vs Entire Period
266,7056.5,1.095080271369048e-07,True,Post-Inauguration vs Entire Period
267,7358.0,1.5316592003700287e-09,True,Post-Inauguration vs Entire Period
268,7231.0,9.862496110807363e-09,True,Post-Inauguration vs Entire Period
269,6921.0,6.298594730917472e-07,True,Post-Inauguration vs Entire Period
270,7572.5,5.3567242298305e-11,True,Post-Inauguration vs Entire Period
271,7017.0,1.8428583735406626e-07,True,Post-Inauguration vs Entire Period
272,7285.5,4.484800990965011e-09,True,Post-Inauguration vs Entire Period
273,6816.0,2.2752470722150366e-06,True,Post-Inauguration vs Entire Period
274,7332.5,2.2452011067129607e-09,True,Post-Inauguration vs Entire Period
275,7169.5,2.3510304922097445e-08,True,Post-Inauguration vs Entire Period
276,7281.5,4.760220248467468e-09,True,Post-Inauguration vs Entire Period
277,7646.5,1.5814696237073548e-11,True,Post-Inauguration vs Entire Period
278,6880.5,1.0417358334130622e-06,True,Post-Inauguration vs Entire Period
279,7622.5,2.3603652982404052e-11,True,Post-Inauguration vs Entire Period
280,6839.5,1.715025820117839e-06,True,Post-Inauguration vs Entire Period
281,7499.5,1.727250476351143e-10,True,Post-Inauguration vs Entire Period
282,7664.5,1.1716448255895112e-11,True,Post-Inauguration vs Entire Period
283,6488.0,8.408264655477199e-05,True,Post-Inauguration vs Entire Period
284,7238.5,8.864835135031662e-09,True,Post-Inauguration vs Entire Period
285,6410.0,0.00018164802019852243,True,Post-Inauguration vs Entire Period
286,7291.0,4.141267740458723e-09,True,Post-Inauguration vs Entire Period
287,6530.0,5.4787335378355366e-05,True,Post-Inauguration vs Entire Period
288,7145.0,3.3002214348034326e-08,True,Post-Inauguration vs Entire Period
289,6795.0,2.918290258434372e-06,True,Post-Inauguration vs Entire Period
290,8038.5,1.469119211231018e-14,True,Post-Inauguration vs Entire Period
