bootstrap_iteration,delta,interpretation,comparison
188,0.43083247687564236,Medium,Post-Inauguration vs Entire Period
189,0.3394655704008222,Medium,Post-Inauguration vs Entire Period
190,0.40750256937307294,Medium,Post-Inauguration vs Entire Period
191,0.4105858170606372,Medium,Post-Inauguration vs Entire Period
192,0.4687564234326824,Medium,Post-Inauguration vs Entire Period
193,0.49414182939362794,Large,Post-Inauguration vs Entire Period
194,0.4722507708119219,Medium,Post-Inauguration vs Entire Period
195,0.6464542651593012,Large,Post-Inauguration vs Entire Period
196,0.40030832476875644,Medium,Post-Inauguration vs Entire Period
197,0.5372045220966084,Large,Post-Inauguration vs Entire Period
198,0.3335046248715313,Medium,Post-Inauguration vs Entire Period
199,0.33741007194244604,Medium,Post-Inauguration vs Entire Period
200,0.5726618705035971,Large,Post-Inauguration vs Entire Period
201,0.3775950668036999,Medium,Post-Inauguration vs Entire Period
202,0.42024665981500514,Medium,Post-Inauguration vs Entire Period
203,0.4698869475847893,Medium,Post-Inauguration vs Entire Period
204,0.418705035971223,Medium,Post-Inauguration vs Entire Period
205,0.42857142857142855,Medium,Post-Inauguration vs Entire Period
206,0.47471736896197325,Large,Post-Inauguration vs Entire Period
207,0.5447070914696814,Large,Post-Inauguration vs Entire Period
208,0.4292908530318602,Medium,Post-Inauguration vs Entire Period
209,0.32312435765673175,Small,Post-Inauguration vs Entire Period
210,0.5556012332990751,Large,Post-Inauguration vs Entire Period
211,0.5183967112024666,Large,Post-Inauguration vs Entire Period
212,0.4552929085303186,Medium,Post-Inauguration vs Entire Period
213,0.4302158273381295,Medium,Post-Inauguration vs Entire Period
214,0.4792394655704008,Large,Post-Inauguration vs Entire Period
215,0.44152106885919834,Medium,Post-Inauguration vs Entire Period
216,0.41623843782117165,Medium,Post-Inauguration vs Entire Period
217,0.41161356628982526,Medium,Post-Inauguration vs Entire Period
218,0.43586844809866393,Medium,Post-Inauguration vs Entire Period
219,0.5277492291880781,Large,Post-Inauguration vs Entire Period
220,0.4736896197327852,Medium,Post-Inauguration vs Entire Period
221,0.5300102774922919,Large,Post-Inauguration vs Entire Period
222,0.38705035971223023,Medium,Post-Inauguration vs Entire Period
223,0.4573484069886948,Medium,Post-Inauguration vs Entire Period
224,0.4845837615621788,Large,Post-Inauguration vs Entire Period
225,0.5184994861253854,Large,Post-Inauguration vs Entire Period
226,0.5205549845837616,Large,Post-Inauguration vs Entire Period
227,0.4025693730729702,Medium,Post-Inauguration vs Entire Period
228,0.5863309352517986,Large,Post-Inauguration vs Entire Period
229,0.4750256937307297,Large,Post-Inauguration vs Entire Period
230,0.34573484069886945,Medium,Post-Inauguration vs Entire Period
231,0.3707091469681398,Medium,Post-Inauguration vs Entire Period
232,0.31109969167523127,Small,Post-Inauguration vs Entire Period
233,0.5251798561151079,Large,Post-Inauguration vs Entire Period
234,0.6134635149023638,Large,Post-Inauguration vs Entire Period
235,0.3699897225077081,Medium,Post-Inauguration vs Entire Period
236,0.4624871531346352,Medium,Post-Inauguration vs Entire Period
237,0.4932168550873587,Large,Post-Inauguration vs Entire Period
238,0.5238437821171634,Large,Post-Inauguration vs Entire Period
239,0.4746145940390545,Large,Post-Inauguration vs Entire Period
240,0.509660842754368,Large,Post-Inauguration vs Entire Period
241,0.4392600205549846,Medium,Post-Inauguration vs Entire Period
242,0.5017471736896197,Large,Post-Inauguration vs Entire Period
243,0.4423432682425488,Medium,Post-Inauguration vs Entire Period
244,0.4538540596094553,Medium,Post-Inauguration vs Entire Period
245,0.42949640287769786,Medium,Post-Inauguration vs Entire Period
246,0.5380267214799589,Large,Post-Inauguration vs Entire Period
