bootstrap_iteration,d_statistic,p_value,significant,comparison
144,0.4683453237410072,1.0539332113958835e-09,True,Post-Inauguration vs Entire Period
145,0.44665981500513874,7.683271400729144e-09,True,Post-Inauguration vs Entire Period
146,0.33124357656731757,5.178877207127168e-05,True,Post-Inauguration vs Entire Period
147,0.3959917780061665,5.199514387713693e-07,True,Post-Inauguration vs Entire Period
148,0.352929085303186,1.2333085546789694e-05,True,Post-Inauguration vs Entire Period
149,0.43895169578622817,1.455583873878128e-08,True,Post-Inauguration vs Entire Period
150,0.40328879753340185,2.948604143874555e-07,True,Post-Inauguration vs Entire Period
151,0.4828365878725591,2.625297188405857e-10,True,Post-Inauguration vs Entire Period
152,0.43216855087358685,2.7178754326126054e-08,True,Post-Inauguration vs Entire Period
153,0.4463514902363823,7.697328342713881e-09,True,Post-Inauguration vs Entire Period
154,0.41089414182939366,1.643883494063624e-07,True,Post-Inauguration vs Entire Period
155,0.49691675231243576,6.321821931338644e-11,True,Post-Inauguration vs Entire Period
156,0.4751284686536485,5.335377552640602e-10,True,Post-Inauguration vs Entire Period
157,0.4462487153134635,7.697796997810048e-09,True,Post-Inauguration vs Entire Period
158,0.5397738951695786,6.285852971852857e-13,True,Post-Inauguration vs Entire Period
159,0.3961973278520041,5.196694039673388e-07,True,Post-Inauguration vs Entire Period
160,0.4319630010277492,2.719621689351661e-08,True,Post-Inauguration vs Entire Period
161,0.5040082219938335,3.030764131067095e-11,True,Post-Inauguration vs Entire Period
162,0.4463514902363823,7.697328342713881e-09,True,Post-Inauguration vs Entire Period
163,0.48232271325796505,2.654682401169132e-10,True,Post-Inauguration vs Entire Period
164,0.4535457348406989,4.02223654390549e-09,True,Post-Inauguration vs Entire Period
165,0.360431654676259,7.462697434274995e-06,True,Post-Inauguration vs Entire Period
166,0.4463514902363823,7.697328342713881e-09,True,Post-Inauguration vs Entire Period
167,0.41089414182939366,1.643883494063624e-07,True,Post-Inauguration vs Entire Period
168,0.4463514902363823,7.697328342713881e-09,True,Post-Inauguration vs Entire Period
169,0.4104830421377184,1.65336172119749e-07,True,Post-Inauguration vs Entire Period
170,0.3964028776978417,5.18467609123811e-07,True,Post-Inauguration vs Entire Period
171,0.46906474820143884,9.296735111221453e-10,True,Post-Inauguration vs Entire Period
172,0.4244604316546763,5.022482695260332e-08,True,Post-Inauguration vs Entire Period
173,0.3602261048304214,7.477608678088056e-06,True,Post-Inauguration vs Entire Period
174,0.5109969167523124,1.4338515683263475e-11,True,Post-Inauguration vs Entire Period
175,0.38869475847893115,9.064142665886771e-07,True,Post-Inauguration vs Entire Period
176,0.4535457348406989,4.02223654390549e-09,True,Post-Inauguration vs Entire Period
177,0.49794450154162384,5.028117002980451e-11,True,Post-Inauguration vs Entire Period
178,0.47564234326824256,5.280679926464014e-10,True,Post-Inauguration vs Entire Period
179,0.4035971223021583,2.940341732702657e-07,True,Post-Inauguration vs Entire Period
180,0.3816032887975334,1.562229364607512e-06,True,Post-Inauguration vs Entire Period
181,0.4247687564234327,5.022135146529158e-08,True,Post-Inauguration vs Entire Period
182,0.45344295991778005,4.022492044594638e-09,True,Post-Inauguration vs Entire Period
183,0.41767728674203497,9.16457734095486e-08,True,Post-Inauguration vs Entire Period
184,0.3960945529290853,5.198696818614625e-07,True,Post-Inauguration vs Entire Period
185,0.3672147995889003,4.488001323431833e-06,True,Post-Inauguration vs Entire Period
186,0.5044193216855087,2.9888099308991154e-11,True,Post-Inauguration vs Entire Period
187,0.4829393627954779,2.60199689851611e-10,True,Post-Inauguration vs Entire Period
188,0.41788283658787256,9.152359677395297e-08,True,Post-Inauguration vs Entire Period
189,0.4249743062692703,5.0190430836070024e-08,True,Post-Inauguration vs Entire Period
190,0.4104830421377184,1.65336172119749e-07,True,Post-Inauguration vs Entire Period
191,0.38191161356628983,1.5602262417602929e-06,True,Post-Inauguration vs Entire Period
192,0.46783144912641317,1.0591485250383542e-09,True,Post-Inauguration vs Entire Period
193,0.4328879753340185,2.594411365301636e-08,True,Post-Inauguration vs Entire Period
194,0.439054470709147,1.4555649085225234e-08,True,Post-Inauguration vs Entire Period
195,0.5836587872559096,3.5438144379951556e-15,True,Post-Inauguration vs Entire Period
196,0.37440904419321686,2.662668125885068e-06,True,Post-Inauguration vs Entire Period
197,0.5326824254881809,1.4013386102569067e-12,True,Post-Inauguration vs Entire Period
198,0.3383350462487153,3.2453521902661254e-05,True,Post-Inauguration vs Entire Period
199,0.3459403905447071,2.009198355259009e-05,True,Post-Inauguration vs Entire Period
200,0.45375128468653647,4.0192342125041614e-09,True,Post-Inauguration vs Entire Period
201,0.3747173689619733,2.6593214581557963e-06,True,Post-Inauguration vs Entire Period
202,0.36032887975334016,7.472269682141891e-06,True,Post-Inauguration vs Entire Period
203,0.4463514902363823,7.697328342713881e-09,True,Post-Inauguration vs Entire Period
204,0.3817060637204522,1.5619897990652063e-06,True,Post-Inauguration vs Entire Period
205,0.38900308324768756,9.058862953897673e-07,True,Post-Inauguration vs Entire Period
206,0.4249743062692703,5.0190430836070024e-08,True,Post-Inauguration vs Entire Period
207,0.4897225077081192,1.3030665945295123e-10,True,Post-Inauguration vs Entire Period
208,0.4250770811921891,5.0142608044610494e-08,True,Post-Inauguration vs Entire Period
209,0.3961973278520041,5.196694039673388e-07,True,Post-Inauguration vs Entire Period
210,0.5039054470709147,3.031767959977283e-11,True,Post-Inauguration vs Entire Period
211,0.4465570400822199,7.69188628522058e-09,True,Post-Inauguration vs Entire Period
212,0.37605344295991777,2.2340742510798348e-06,True,Post-Inauguration vs Entire Period
213,0.3823227132579651,1.5404580148798744e-06,True,Post-Inauguration vs Entire Period
214,0.42559095580678313,4.874674591176823e-08,True,Post-Inauguration vs Entire Period
215,0.4251798561151079,5.005141559368417e-08,True,Post-Inauguration vs Entire Period
216,0.4897225077081192,1.3030665945295123e-10,True,Post-Inauguration vs Entire Period
217,0.41788283658787256,9.152359677395297e-08,True,Post-Inauguration vs Entire Period
218,0.41767728674203497,9.16457734095486e-08,True,Post-Inauguration vs Entire Period
219,0.4897225077081192,1.3030665945295123e-10,True,Post-Inauguration vs Entire Period
220,0.40513874614594036,2.0965840326727472e-07,True,Post-Inauguration vs Entire Period
221,0.4322713257965057,2.7151522197219926e-08,True,Post-Inauguration vs Entire Period
222,0.3959917780061665,5.199514387713693e-07,True,Post-Inauguration vs Entire Period
223,0.4104830421377184,1.65336172119749e-07,True,Post-Inauguration vs Entire Period
224,0.42538540596094554,4.964293159221417e-08,True,Post-Inauguration vs Entire Period
225,0.43216855087358685,2.7178754326126054e-08,True,Post-Inauguration vs Entire Period
226,0.389311408016444,9.016583332753645e-07,True,Post-Inauguration vs Entire Period
227,0.45334018499486123,4.022547814757785e-09,True,Post-Inauguration vs Entire Period
228,0.5469681397738951,2.7810876561283433e-13,True,Post-Inauguration vs Entire Period
229,0.4393627954779034,1.4545009095323472e-08,True,Post-Inauguration vs Entire Period
230,0.42487153134635147,5.0212598865128217e-08,True,Post-Inauguration vs Entire Period
231,0.3745118191161357,2.662262229596532e-06,True,Post-Inauguration vs Entire Period
232,0.3532374100719424,1.2304603383437911e-05,True,Post-Inauguration vs Entire Period
233,0.42559095580678313,4.874674591176823e-08,True,Post-Inauguration vs Entire Period
234,0.5469681397738951,2.7810876561283433e-13,True,Post-Inauguration vs Entire Period
235,0.4462487153134635,7.697796997810048e-09,True,Post-Inauguration vs Entire Period
236,0.39568345323741005,5.199855320214378e-07,True,Post-Inauguration vs Entire Period
237,0.46772867420349434,1.0591644779535696e-09,True,Post-Inauguration vs Entire Period
238,0.4538540596094553,4.014449389489958e-09,True,Post-Inauguration vs Entire Period
239,0.4118191161356629,1.4075690297793123e-07,True,Post-Inauguration vs Entire Period
240,0.5189105858170606,6.489533721554315e-12,True,Post-Inauguration vs Entire Period
241,0.4104830421377184,1.65336172119749e-07,True,Post-Inauguration vs Entire Period
242,0.46855087358684483,1.0410223146284911e-09,True,Post-Inauguration vs Entire Period
243,0.44645426515930114,7.695810883646941e-09,True,Post-Inauguration vs Entire Period
244,0.36032887975334016,7.472269682141891e-06,True,Post-Inauguration vs Entire Period
245,0.4319630010277492,2.719621689351661e-08,True,Post-Inauguration vs Entire Period
246,0.49712230215827335,6.287154623569034e-11,True,Post-Inauguration vs Entire Period
247,0.4750256937307297,5.335773533035567e-10,True,Post-Inauguration vs Entire Period
248,0.4179856115107914,9.13656012219627e-08,True,Post-Inauguration vs Entire Period
249,0.39660842754367936,5.150656545282803e-07,True,Post-Inauguration vs Entire Period
250,0.43237410071942445,2.7099330639356575e-08,True,Post-Inauguration vs Entire Period
251,0.41788283658787256,9.152359677395297e-08,True,Post-Inauguration vs Entire Period
252,0.4392600205549846,1.4552053797359713e-08,True,Post-Inauguration vs Entire Period
253,0.4035971223021583,2.940341732702657e-07,True,Post-Inauguration vs Entire Period
254,0.4536485097636177,4.021403100744295e-09,True,Post-Inauguration vs Entire Period
255,0.3172661870503597,0.00012741416178098136,True,Post-Inauguration vs Entire Period
256,0.5114080164439877,1.4286506188889253e-11,True,Post-Inauguration vs Entire Period
257,0.48263103802672147,2.6479458562783725e-10,True,Post-Inauguration vs Entire Period
258,0.3456320657759507,2.0116248153402437e-05,True,Post-Inauguration vs Entire Period
259,0.4246659815005139,5.0224122257940325e-08,True,Post-Inauguration vs Entire Period
260,0.49671120246659817,6.328937386454563e-11,True,Post-Inauguration vs Entire Period
261,0.4752312435765673,5.334060123992097e-10,True,Post-Inauguration vs Entire Period
262,0.38900308324768756,9.058862953897673e-07,True,Post-Inauguration vs Entire Period
263,0.4614594039054471,2.021937689177127e-09,True,Post-Inauguration vs Entire Period
264,0.4035971223021583,2.940341732702657e-07,True,Post-Inauguration vs Entire Period
265,0.31747173689619734,0.00012683745328591548,True,Post-Inauguration vs Entire Period
266,0.4251798561151079,5.005141559368417e-08,True,Post-Inauguration vs Entire Period
267,0.43967112024665983,1.4448458164863447e-08,True,Post-Inauguration vs Entire Period
268,0.4608427543679342,2.076107743182512e-09,True,Post-Inauguration vs Entire Period
269,0.33895169578622814,3.231050975563765e-05,True,Post-Inauguration vs Entire Period
270,0.4535457348406989,4.02223654390549e-09,True,Post-Inauguration vs Entire Period
271,0.4039054470709147,2.9017421359957295e-07,True,Post-Inauguration vs Entire Period
