bootstrap_iteration,d_statistic,p_value,significant,comparison
166,0.4020435825252841,2.6923881375578736e-07,True,Pre-Inauguration vs Entire Period
167,0.4096548847878219,1.4788253697858692e-07,True,Pre-Inauguration vs Entire Period
168,0.41601501407569597,8.992688430181503e-08,True,Pre-Inauguration vs Entire Period
169,0.4167448649775832,8.175860909241185e-08,True,Pre-Inauguration vs Entire Period
170,0.4167448649775832,8.175860909241185e-08,True,Pre-Inauguration vs Entire Period
171,0.4163278073193619,8.418537831611262e-08,True,Pre-Inauguration vs Entire Period
172,0.3805651131268898,1.4309811307706048e-06,True,Pre-Inauguration vs Entire Period
173,0.4812845375873214,2.309854623743922e-10,True,Pre-Inauguration vs Entire Period
174,0.4234177875091231,4.686572205892471e-08,True,Pre-Inauguration vs Entire Period
175,0.531539985402982,1.2350674374875873e-12,True,Pre-Inauguration vs Entire Period
176,0.3728495464497967,2.59541359216967e-06,True,Pre-Inauguration vs Entire Period
177,0.35126681263684706,1.203257329627867e-05,True,Pre-Inauguration vs Entire Period
178,0.45250755917005525,3.5512908512501974e-09,True,Pre-Inauguration vs Entire Period
179,0.5244500052132207,2.634695235628601e-12,True,Pre-Inauguration vs Entire Period
180,0.38692524241476384,9.623466619675023e-07,True,Pre-Inauguration vs Entire Period
181,0.336565530184548,3.3507561947442826e-05,True,Pre-Inauguration vs Entire Period
182,0.3940152226045251,5.757997763497657e-07,True,Pre-Inauguration vs Entire Period
183,0.553226983630487,1.0317276078583429e-13,True,Pre-Inauguration vs Entire Period
184,0.46679178396413307,9.415899075742387e-10,True,Pre-Inauguration vs Entire Period
185,0.44562610780940465,6.73077684054145e-09,True,Pre-Inauguration vs Entire Period
186,0.6038994891043686,1.8856579379444878e-16,True,Pre-Inauguration vs Entire Period
187,0.43123761860077153,2.400326118658638e-08,True,Pre-Inauguration vs Entire Period
188,0.46001459701803776,1.798238957697289e-09,True,Pre-Inauguration vs Entire Period
189,0.41580648524658537,9.62995254805793e-08,True,Pre-Inauguration vs Entire Period
190,0.4382233343759775,1.286223390214658e-08,True,Pre-Inauguration vs Entire Period
191,0.30111562923574187,0.0002910363954717736,True,Pre-Inauguration vs Entire Period
192,0.488478782191638,1.1310756723206345e-10,True,Pre-Inauguration vs Entire Period
193,0.43801480554686684,1.3083422248138197e-08,True,Pre-Inauguration vs Entire Period
194,0.5176728182671254,5.536947886688093e-12,True,Pre-Inauguration vs Entire Period
195,0.5247627984568867,2.5414945305939205e-12,True,Pre-Inauguration vs Entire Period
196,0.4383275987905328,1.2812914608449224e-08,True,Pre-Inauguration vs Entire Period
197,0.4666875195495777,9.615960977710577e-10,True,Pre-Inauguration vs Entire Period
198,0.4597018037743718,1.8265999955719153e-09,True,Pre-Inauguration vs Entire Period
199,0.4237305807527891,4.501181667579553e-08,True,Pre-Inauguration vs Entire Period
