bootstrap_iteration,delta,interpretation,comparison
264,-0.9233954451345756,Large,Pre vs Post Inauguration
265,-0.9209109730848861,Large,Pre vs Post Inauguration
266,-0.8608695652173913,Large,Pre vs Post Inauguration
267,-0.9428571428571428,Large,Pre vs Post Inauguration
268,-0.8724637681159421,Large,Pre vs Post Inauguration
269,-0.9598343685300207,Large,Pre vs Post Inauguration
270,-0.9855072463768116,Large,Pre vs Post Inauguration
271,-0.9474120082815735,Large,Pre vs Post Inauguration
272,-0.8977225672877847,Large,Pre vs Post Inauguration
273,-0.9561076604554866,Large,Pre vs Post Inauguration
274,-0.9507246376811594,Large,Pre vs Post Inauguration
275,-0.9701863354037267,Large,Pre vs Post Inauguration
276,-0.912008281573499,Large,Pre vs Post Inauguration
277,-0.9196687370600414,Large,Pre vs Post Inauguration
278,-0.8445134575569359,Large,Pre vs Post Inauguration
279,-0.8703933747412008,Large,Pre vs Post Inauguration
280,-0.8708074534161491,Large,Pre vs Post Inauguration
281,-0.9192546583850931,Large,Pre vs Post Inauguration
282,-0.9316770186335404,Large,Pre vs Post Inauguration
283,-0.8596273291925466,Large,Pre vs Post Inauguration
284,-0.9683229813664597,Large,Pre vs Post Inauguration
285,-0.9142857142857143,Large,Pre vs Post Inauguration
286,-0.8351966873706004,Large,Pre vs Post Inauguration
287,-0.9192546583850931,Large,Pre vs Post Inauguration
288,-0.9548654244306418,Large,Pre vs Post Inauguration
289,-0.9329192546583851,Large,Pre vs Post Inauguration
290,-0.8927536231884058,Large,Pre vs Post Inauguration
291,-0.9151138716356108,Large,Pre vs Post Inauguration
292,-0.9167701863354037,Large,Pre vs Post Inauguration
293,-0.8840579710144928,Large,Pre vs Post Inauguration
294,-0.8409937888198757,Large,Pre vs Post Inauguration
295,-0.905175983436853,Large,Pre vs Post Inauguration
296,-0.9101449275362319,Large,Pre vs Post Inauguration
297,-0.8939958592132505,Large,Pre vs Post Inauguration
298,-0.9747412008281573,Large,Pre vs Post Inauguration
299,-0.9341614906832298,Large,Pre vs Post Inauguration
300,-0.9084886128364389,Large,Pre vs Post Inauguration
301,-0.9527950310559006,Large,Pre vs Post Inauguration
302,-0.9619047619047619,Large,Pre vs Post Inauguration
303,-0.9188405797101449,Large,Pre vs Post Inauguration
304,-0.9225672877846791,Large,Pre vs Post Inauguration
305,-0.9374741200828157,Large,Pre vs Post Inauguration
306,-0.9134575569358178,Large,Pre vs Post Inauguration
307,-0.9167701863354037,Large,Pre vs Post Inauguration
308,-0.9180124223602485,Large,Pre vs Post Inauguration
309,-0.867080745341615,Large,Pre vs Post Inauguration
310,-0.9631469979296067,Large,Pre vs Post Inauguration
311,-0.9374741200828157,Large,Pre vs Post Inauguration
312,-0.9293995859213251,Large,Pre vs Post Inauguration
313,-0.9552795031055901,Large,Pre vs Post Inauguration
314,-0.8956521739130435,Large,Pre vs Post Inauguration
315,-0.9440993788819876,Large,Pre vs Post Inauguration
316,-0.9175983436853002,Large,Pre vs Post Inauguration
317,-0.9546583850931677,Large,Pre vs Post Inauguration
318,-0.9619047619047619,Large,Pre vs Post Inauguration
319,-0.9480331262939958,Large,Pre vs Post Inauguration
320,-0.917184265010352,Large,Pre vs Post Inauguration
321,-0.9202898550724637,Large,Pre vs Post Inauguration
322,-0.9285714285714286,Large,Pre vs Post Inauguration
323,-0.9084886128364389,Large,Pre vs Post Inauguration
324,-0.929192546583851,Large,Pre vs Post Inauguration
325,-0.9238095238095239,Large,Pre vs Post Inauguration
326,-0.9072463768115943,Large,Pre vs Post Inauguration
327,-0.9219461697722567,Large,Pre vs Post Inauguration
328,-0.8641821946169772,Large,Pre vs Post Inauguration
329,-0.9383022774327122,Large,Pre vs Post Inauguration
330,-0.8919254658385093,Large,Pre vs Post Inauguration
331,-0.9374741200828157,Large,Pre vs Post Inauguration
332,-0.9445134575569358,Large,Pre vs Post Inauguration
333,-0.9453416149068323,Large,Pre vs Post Inauguration
334,-0.893167701863354,Large,Pre vs Post Inauguration
335,-0.9590062111801242,Large,Pre vs Post Inauguration
336,-0.9312629399585921,Large,Pre vs Post Inauguration
337,-0.9664596273291925,Large,Pre vs Post Inauguration
338,-0.9093167701863354,Large,Pre vs Post Inauguration
339,-0.9625258799171843,Large,Pre vs Post Inauguration
340,-0.8525879917184265,Large,Pre vs Post Inauguration
341,-0.9318840579710145,Large,Pre vs Post Inauguration
342,-0.919047619047619,Large,Pre vs Post Inauguration
343,-0.893167701863354,Large,Pre vs Post Inauguration
344,-0.894824016563147,Large,Pre vs Post Inauguration
345,-0.8944099378881988,Large,Pre vs Post Inauguration
346,-0.9457556935817806,Large,Pre vs Post Inauguration
347,-0.9714285714285714,Large,Pre vs Post Inauguration
348,-0.9026915113871635,Large,Pre vs Post Inauguration
349,-0.8923395445134575,Large,Pre vs Post Inauguration
350,-0.9565217391304348,Large,Pre vs Post Inauguration
351,-0.9358178053830227,Large,Pre vs Post Inauguration
352,-0.9221532091097309,Large,Pre vs Post Inauguration
353,-0.9436853002070393,Large,Pre vs Post Inauguration
354,-0.9006211180124224,Large,Pre vs Post Inauguration
355,-0.9097308488612836,Large,Pre vs Post Inauguration
356,-0.8958592132505176,Large,Pre vs Post Inauguration
357,-0.9031055900621118,Large,Pre vs Post Inauguration
358,-0.856728778467909,Large,Pre vs Post Inauguration
359,-0.9055900621118013,Large,Pre vs Post Inauguration
360,-0.9128364389233955,Large,Pre vs Post Inauguration
361,-0.8737060041407867,Large,Pre vs Post Inauguration
362,-0.8881987577639752,Large,Pre vs Post Inauguration
363,-0.8923395445134575,Large,Pre vs Post Inauguration
364,-0.9505175983436853,Large,Pre vs Post Inauguration
365,-0.9091097308488613,Large,Pre vs Post Inauguration
366,-0.934368530020704,Large,Pre vs Post Inauguration
367,-0.8927536231884058,Large,Pre vs Post Inauguration
368,-0.9198757763975155,Large,Pre vs Post Inauguration
369,-0.9178053830227744,Large,Pre vs Post Inauguration
370,-0.9076604554865424,Large,Pre vs Post Inauguration
371,-0.905175983436853,Large,Pre vs Post Inauguration
372,-0.9826086956521739,Large,Pre vs Post Inauguration
373,-0.9737060041407868,Large,Pre vs Post Inauguration
374,-0.9619047619047619,Large,Pre vs Post Inauguration
375,-0.9122153209109731,Large,Pre vs Post Inauguration
376,-0.917184265010352,Large,Pre vs Post Inauguration
377,-0.9391304347826087,Large,Pre vs Post Inauguration
378,-0.9262939958592132,Large,Pre vs Post Inauguration
379,-0.9424430641821946,Large,Pre vs Post Inauguration
380,-0.8956521739130435,Large,Pre vs Post Inauguration
381,-0.9175983436853002,Large,Pre vs Post Inauguration
382,-0.9486542443064182,Large,Pre vs Post Inauguration
383,-0.8726708074534162,Large,Pre vs Post Inauguration
384,-0.9511387163561077,Large,Pre vs Post Inauguration
385,-0.9167701863354037,Large,Pre vs Post Inauguration
386,-0.9399585921325052,Large,Pre vs Post Inauguration
387,-0.9312629399585921,Large,Pre vs Post Inauguration
388,-0.913871635610766,Large,Pre vs Post Inauguration
389,-0.8993788819875776,Large,Pre vs Post Inauguration
390,-0.9122153209109731,Large,Pre vs Post Inauguration
391,-0.9420289855072463,Large,Pre vs Post Inauguration
392,-0.9399585921325052,Large,Pre vs Post Inauguration
393,-0.906832298136646,Large,Pre vs Post Inauguration
394,-0.9623188405797102,Large,Pre vs Post Inauguration
395,-0.9283643892339545,Large,Pre vs Post Inauguration
396,-0.9436853002070393,Large,Pre vs Post Inauguration
397,-0.9134575569358178,Large,Pre vs Post Inauguration
398,-0.9287784679089027,Large,Pre vs Post Inauguration
399,-0.9440993788819876,Large,Pre vs Post Inauguration
400,-0.9026915113871635,Large,Pre vs Post Inauguration
401,-0.9159420289855073,Large,Pre vs Post Inauguration
402,-0.9573498964803313,Large,Pre vs Post Inauguration
403,-0.9391304347826087,Large,Pre vs Post Inauguration
404,-0.9082815734989648,Large,Pre vs Post Inauguration
405,-0.9697722567287784,Large,Pre vs Post Inauguration
406,-0.9420289855072463,Large,Pre vs Post Inauguration
407,-0.8973084886128364,Large,Pre vs Post Inauguration
408,-0.9337474120082816,Large,Pre vs Post Inauguration
409,-0.8927536231884058,Large,Pre vs Post Inauguration
410,-0.9196687370600414,Large,Pre vs Post Inauguration
411,-0.937888198757764,Large,Pre vs Post Inauguration
412,-0.9407867494824017,Large,Pre vs Post Inauguration
413,-0.9302277432712215,Large,Pre vs Post Inauguration
414,-0.917184265010352,Large,Pre vs Post Inauguration
415,-0.9465838509316771,Large,Pre vs Post Inauguration
416,-0.9523809523809523,Large,Pre vs Post Inauguration
417,-0.9461697722567288,Large,Pre vs Post Inauguration
418,-0.9581780538302277,Large,Pre vs Post Inauguration
419,-0.9022774327122153,Large,Pre vs Post Inauguration
420,-0.9217391304347826,Large,Pre vs Post Inauguration
421,-0.9335403726708075,Large,Pre vs Post Inauguration
422,-0.9031055900621118,Large,Pre vs Post Inauguration
423,-0.927536231884058,Large,Pre vs Post Inauguration
424,-0.9420289855072463,Large,Pre vs Post Inauguration
425,-0.9341614906832298,Large,Pre vs Post Inauguration
426,-0.9753623188405797,Large,Pre vs Post Inauguration
427,-0.9300207039337474,Large,Pre vs Post Inauguration
428,-0.9320910973084886,Large,Pre vs Post Inauguration
429,-0.9494824016563147,Large,Pre vs Post Inauguration
430,-0.9122153209109731,Large,Pre vs Post Inauguration
431,-0.901863354037267,Large,Pre vs Post Inauguration
432,-0.915527950310559,Large,Pre vs Post Inauguration
433,-0.9403726708074535,Large,Pre vs Post Inauguration
434,-0.8842650103519669,Large,Pre vs Post Inauguration
435,-0.9047619047619048,Large,Pre vs Post Inauguration
436,-0.9606625258799172,Large,Pre vs Post Inauguration
437,-0.915527950310559,Large,Pre vs Post Inauguration
438,-0.8600414078674948,Large,Pre vs Post Inauguration
439,-0.9403726708074535,Large,Pre vs Post Inauguration
440,-0.9010351966873706,Large,Pre vs Post Inauguration
441,-0.9080745341614906,Large,Pre vs Post Inauguration
442,-0.9569358178053831,Large,Pre vs Post Inauguration
443,-0.9631469979296067,Large,Pre vs Post Inauguration
